year,region,min_temp,max_temp,avg_temp
1980,Oceania,21.1,28.45,24.75
1980,Caribbean,21.47,29.39,25.4
1980,Central America,19.66,29.54,24.58
1980,South America,15.7,26.76,21.21
1980,Africa,18.12,29.97,24.02
1980,Europe,3.37,11.54,7.44
1980,Asia,12.74,23.87,18.29
1980,North America,-5.58,7.4,0.91
